"","geography","weekEnding","expectedDeaths","allDeaths","excessDeaths","excessDeathsLo","excessDeathsHi","cv19Deaths"
"1","United States","2020-01-04",64663,60158,-4505,0,0,0
"2","United States","2020-01-11",64884,60735,-4149,0,0,1
"3","United States","2020-01-18",64582,59362,-5220,0,0,2
"4","United States","2020-01-25",63924,59172,-4752,0,0,2
"5","United States","2020-02-01",62516,58844,-3672,0,0,0
"6","United States","2020-02-08",62320,59482,-2838,0,0,2
"7","United States","2020-02-15",61363,58815,-2548,0,0,3
"8","United States","2020-02-22",60759,58921,-1838,0,0,6
"9","United States","2020-02-29",59995,59343,-652,0,0,9
"10","United States","2020-03-07",59807,59716,-91,0,0,38
"11","United States","2020-03-14",59418,58673,-745,0,0,60
"12","United States","2020-03-21",58731,59242,511,0,511,588
"13","United States","2020-03-28",58198,63026,4828,2865,4828,3215
"14","United States","2020-04-04",57660,72312,14652,12805,14652,10126
"15","United States","2020-04-11",57099,79096,21997,20189,21997,16317
"16","United States","2020-04-18",56624,76827,20203,18336,20203,17197
"17","United States","2020-04-25",55856,73914,18058,16268,18058,15551
"18","United States","2020-05-02",55037,69303,14266,12406,14266,13213
"19","United States","2020-05-09",54498,66814,12316,10549,12316,11233
"20","United States","2020-05-16",53976,64491,10515,8767,10515,9231
"21","United States","2020-05-23",53636,61643,8007,6237,8007,7247
"22","United States","2020-05-30",53287,59682,6395,4707,6395,6170
"23","United States","2020-06-06",53194,58908,5714,3936,5714,5056
"24","United States","2020-06-13",53049,58034,4985,3266,4985,4229
"25","United States","2020-06-20",52933,58011,5078,3336,5078,3849
"26","United States","2020-06-27",52904,58522,5618,3871,5618,3841
"27","United States","2020-07-04",52617,59825,7208,5532,7208,4547
"28","United States","2020-07-11",52357,61945,9588,7827,9588,5785
"29","United States","2020-07-18",52161,63194,11033,9328,11033,7195
"30","United States","2020-07-25",51833,64266,12433,10798,12433,8244
"31","United States","2020-08-01",51911,64235,12324,10557,12324,8302
"32","United States","2020-08-08",51879,63740,11861,10173,11861,7864
"33","United States","2020-08-15",51752,63644,11892,10104,11892,7259
"34","United States","2020-08-22",51845,62562,10717,8957,10717,6381
"35","United States","2020-08-29",51913,61125,9212,7425,9212,5747
"36","United States","2020-09-05",52093,60247,8154,6485,8154,5018
"37","United States","2020-09-12",52440,59678,7238,5490,7238,4625
