"","geography","weekEnding","expectedDeaths","allDeaths","excessDeaths","excessDeathsLo","excessDeathsHi","cv19Deaths"
"38","United States","2020-09-19",52658,59751,7093,5364,7093,4276
"39","United States","2020-09-26",52971,60613,7642,5871,7642,4299
"40","United States","2020-10-03",53346,59802,6456,4568,6456,4242
"41","United States","2020-10-10",53485,61799,8314,6514,8314,4818
"42","United States","2020-10-17",54123,60643,6520,4613,6520,5199
"43","United States","2020-10-24",54385,62209,7824,5965,7824,5996
"44","United States","2020-10-31",54559,63425,8866,7096,8866,7023
"45","United States","2020-11-07",54885,67612,12727,10862,12727,8759
"46","United States","2020-11-14",54984,68823,13839,11922,13839,10649
"47","United States","2020-11-21",55059,71677,16618,14759,16618,13358
"48","United States","2020-11-28",55316,73305,17989,16091,17989,15622
"49","United States","2020-12-05",55707,77429,21722,19858,21722,18562
"50","United States","2020-12-12",56250,82006,25756,23854,25756,20922
"51","United States","2020-12-19",56767,82957,26190,24436,26190,22327
"52","United States","2020-12-26",57631,84371,26740,24877,26740,23372
"53","United States","2021-01-02",58337,87010,28673,26775,28673,24856
"54","United States","2021-01-09",58915,87001,28086,26311,28086,25965
"55","United States","2021-01-16",59440,87335,27895,26004,27895,25684
"56","United States","2021-01-23",59573,83573,24000,22132,24000,23653
"57","United States","2021-01-30",59586,79121,19535,17733,19535,20286
"58","United States","2021-02-06",59632,76434,16802,15012,16802,16983
"59","United States","2021-02-13",59443,71463,12020,10168,12020,13483
"60","United States","2021-02-20",58506,69459,10953,8972,10953,10799
"61","United States","2021-02-27",58185,66667,8482,6471,8482,8633
"62","United States","2021-03-06",57621,63619,5998,4026,5998,6700
"63","United States","2021-03-13",57384,61788,4404,2692,4404,5694
"64","United States","2021-03-20",57039,60250,3211,1441,3211,4879
"65","United States","2021-03-27",56468,60694,4226,2286,4226,4435
"66","United States","2021-04-03",56227,58557,2330,412,2330,4175
"67","United States","2021-04-10",55679,60870,5191,3207,5191,4288
"68","United States","2021-04-17",55466,59002,3536,1801,3536,4429
"69","United States","2021-04-24",55012,60133,5121,3371,5121,4562
"70","United States","2021-05-01",54241,59665,5424,3530,5424,4144
"71","United States","2021-05-08",53984,59149,5165,3308,5165,3972
"72","United States","2021-05-15",53679,58613,4934,3173,4934,3660
"73","United States","2021-05-22",53355,58870,5515,3836,5515,3211
"74","United States","2021-05-29",53098,57381,4283,2590,4283,2752
"75","United States","2021-06-05",52652,57128,4476,2616,4476,2331
"76","United States","2021-06-12",52753,56806,4053,2213,4053,2020
"77","United States","2021-06-19",52784,56899,4115,2342,4115,1756
"78","United States","2021-06-26",52736,56665,3929,2262,3929,1611
"79","United States","2021-07-03",52506,56902,4396,2700,4396,1513
"80","United States","2021-07-10",52192,56391,4199,2430,4199,1615
"81","United States","2021-07-17",52007,56433,4426,2625,4426,1953
"82","United States","2021-07-24",51993,57654,5661,3907,5661,2728
"83","United States","2021-07-31",51901,59481,7580,5866,7580,4030
"84","United States","2021-08-07",51748,62466,10718,9036,10718,6325
"85","United States","2021-08-14",51490,65822,14332,12538,14332,9141
"86","United States","2021-08-21",51707,68668,16961,15113,16961,11819
"87","United States","2021-08-28",51665,70650,18985,17090,18985,13696
"88","United States","2021-09-04",52043,71816,19773,18051,19773,14813
"89","United States","2021-09-11",52420,71833,19413,17575,19413,14559
"90","United States","2021-09-18",52566,71095,18529,16561,18529,14196
"91","United States","2021-09-25",52972,68612,15640,13663,15640,12879
"92","United States","2021-10-02",53494,65447,11953,10046,11953,10622
"93","United States","2021-10-09",54047,58973,4926,3095,4926,7942
"94","United States","2021-10-16",54439,49604,-4835,0,0,4874
